FPR,TPR
0.0,0.0
0.0021425676066940762,0.16150392777664677
0.006975189382972115,0.26489676862271583
0.013136167980107989,0.3448194767176564
0.02081677274218823,0.41128279289841135
0.029327381171726532,0.46336532183899976
0.038025749416102074,0.5085294881605088
0.04605379757386243,0.5455713353036568
0.05523823561926521,0.5753016911553069
0.06511931522065288,0.6034560222398506
0.07426339367968877,0.6280950107759378
0.08533595846121181,0.6496468862103097
0.09481695172817994,0.6688540299199001
0.10550873258615455,0.6938563114702311
0.11587763675319411,0.7091146180684746
0.12592892852317256,0.723665644064108
0.136487347269674,0.7395469894065864
0.14605432400324983,0.7520288247558741
0.15611614436097615,0.7668431065589307
0.16648855805726498,0.7794986907411178
0.17751725372317184,0.7909678687511846
0.18766505754750587,0.8026792421040808
0.19985189786567978,0.8142151115853615
0.21055245254677762,0.8241889966092651
0.22219882536056026,0.8335345777727857
0.23454183973032777,0.843903346507824
0.24008338641496324,0.8479504657872753
0.2508067530361815,0.8546354082571062
0.2608668186292832,0.8628840902230304
0.2719814977617977,0.8710450202531468
0.2830382696616989,0.8772596123470484
0.2947407949434703,0.8833917176212908
0.3052027016356161,0.8907014538740725
0.3164191571163602,0.896459735901774
0.3269284424533715,0.9026725729569595
0.3381799932266085,0.9076586379495531
0.3493385414747393,0.9121936579920953
0.35983027916550414,0.9170094842292221
0.3702799025052775,0.9222991709197105
0.38113663123796887,0.9278029723335697
0.3918249025666942,0.933034742746425
0.40253247630629063,0.9376891054216656
0.4144666305185154,0.9423083673225832
0.42563044306052006,0.9458886463035374
0.43598530911056244,0.9491424880832872
0.4483037567755849,0.9522875174626352
0.4591183711572848,0.9549744817370671
0.47199658873756967,0.9583213405687729
0.48387634524643036,0.9611855637535364
0.4952735414835131,0.964860614825163
0.5059846247523588,0.9680863759854542
0.5167378223721961,0.9701976875609876
0.5237814475755295,0.9714946611722255
0.5342240518568042,0.973493650269925
0.5452369546410892,0.9762666114414484
0.5558199400923357,0.9778005152793671
0.5689420699554465,0.9798556656159835
0.5802603017844201,0.9814860965832907
0.5909503278777701,0.9826461771746685
0.6014929537426498,0.9840747786896179
0.6122847561842292,0.9854507290430827
0.6225992626479048,0.986331758478592
0.6326347615362613,0.9874058421728783
0.6427422057742285,0.9882710762599423
0.6527004950191007,0.9893802607285517
0.6627272200843339,0.9905368312424973
0.6739629779759492,0.9918039691955605
0.6842178224423867,0.9929675598643706
0.694279642800113,0.9934361552015838
0.7045415063250491,0.9940521737909538
0.7148332008486041,0.9949156528393016
0.7246230326895102,0.9953193117440171
0.7344216383535395,0.9958791690944703
0.7439693126762442,0.9962249117215526
0.7536749158151671,0.996514493109718
0.7632769878412359,0.9971498171249658
0.7735476251892952,0.9976236775783274
0.7742670786854006,0.9976798388172443
0.7836989385428785,0.997813221759672
0.7931343079296058,0.9981326388060121
0.8025328272592156,0.9984204651554613
0.8117120010107445,0.9987381271630852
0.8208051912956655,0.9987855132084213
0.8298703053465923,0.9988399194086222
0.8389284003390205,0.9988873054539583
0.8486076820085737,0.9991207256032069
0.8579114440484525,0.9994173271462369
0.8671766012665891,0.9995278945853545
0.8763434916657454,0.9995647503983938
0.8855665345328905,0.9995647503983938
0.8947264058735481,0.9996454821793369
0.903761688925856,0.9996454821793369
0.9129654293821299,0.9996454821793369
0.9219796552589419,0.9996893581472407
0.9310658264853644,0.9997999255863584
0.9399501997799525,0.9998595969027076
0.9487907039589245,0.9998595969027076
0.957762815484745,0.9998595969027076
0.9668138914186746,0.9999034728706115
0.9758930435865986,1.0
0.9849107789926598,1.0
0.9937214521730128,1.0
1.0,1.0
1.0,1.0
